mes;dia;hora;reflectancia;nc;N;Hext;RadSolar
1;1;7.0;0.0650395042600981;0.38034729177472165;11.89530215232005;9727.337535952825;134.82993095238083
1;1;10.0;0.18428116829630245;0.14091909190788424;11.89530215232005;9727.337535952825;674.29345
1;1;13.0;0.45500234781351256;0.2674383645312148;11.89530215232005;9727.337535952825;736.0485734126984
1;1;16.0;0.26466328722943394;0.3942250950125296;11.89530215232005;9727.337535952825;513.2741765873016
1;2;6.0;0.0015171546443438497;0.2899615554838396;11.895704600897517;9734.063524978235;59.51642420634931
1;2;7.0;0.02941412501434086;0.25761578658040246;11.895704600897517;9734.063524978235;155.5046928571428
1;2;8.0;0.04165439056766669;0.04730242132597677;11.895704600897517;9734.063524978235;241.79084722222217
1;2;9.0;0.05595577449238927;0.17727109522762982;11.895704600897517;9734.063524978235;520.2193007936507
1;2;10.0;0.06775561786545976;0.015308734085891491;11.895704600897517;9734.063524978235;599.3037690476191
1;2;11.0;0.09876161379013441;0.0;11.895704600897517;9734.063524978235;638.3284341269841
1;2;12.0;0.23880761070521264;0.0;11.895704600897517;9734.063524978235;749.9846992063492
1;2;13.0;0.13833949780518648;0.04049677033321136;11.895704600897517;9734.063524978235;715.4933146825397
1;2;16.0;0.31586663513182217;0.45964887930980663;11.895704600897517;9734.063524978235;459.8725412698413
1;3;6.0;0.0030345502279116175;0.3935314212131423;11.89614514534793;9741.293246714582;39.56746904761911
1;3;7.0;0.041786404237908366;0.3002390086749064;11.89614514534793;9741.293246714582;126.3528317460316
1;3;8.0;0.08326328566435875;0.17289691937104645;11.89614514534793;9741.293246714582;243.7766543650793
1;3;9.0;0.08202057537672955;0.2180294614140734;11.89614514534793;9741.293246714582;533.1664305555555
1;3;10.0;0.44872214065640165;0.4259769615178766;11.89614514534793;9741.293246714582;570.3367861111111
1;3;13.0;0.8287080751490027;0.5352606667691016;11.89614514534793;9741.293246714582;659.932482936508
1;3;16.0;0.4487583047087382;0.6294478530386249;11.89614514534793;9741.293246714582;394.6505158730159
1;4;7.0;0.08818800936936297;0.4600952393112189;11.896623438301537;9749.01727639038;102.39051666666654
1;4;10.0;0.5522568605554797;0.5375836706510929;11.896623438301537;9749.01727639038;538.3236178571428
1;4;13.0;0.5189210435254171;0.3132467399170085;11.896623438301537;9749.01727639038;743.40273015873
1;4;16.0;0.22969728057804994;0.3495481633154403;11.896623438301537;9749.01727639038;567.1722857142857
1;5;7.0;0.024746437959274854;0.24153533297758176;11.897139104372629;9757.225420530709;149.82083531746025
1;5;10.0;0.0867273523062752;0.03575958235739547;11.897139104372629;9757.225420530709;636.4567845238096
1;5;13.0;0.9578248960667459;0.6277943415468038;11.897139104372629;9757.225420530709;650.5783384920635
1;5;16.0;0.3355036594130463;0.484739591019993;11.897139104372629;9757.225420530709;493.95770753968253
1;6;7.0;0.3061332839775961;1.0;11.897691741131418;9765.906735111403;95.69061785714285
1;6;10.0;0.6957486242000647;0.6922626377039224;11.897691741131418;9765.906735111403;497.23004404761906
1;6;13.0;0.9063943371239104;0.5909357929779565;11.897691741131418;9765.906735111403;717.6516043650793
1;6;16.0;0.22330908661902243;0.3413858098611051;11.897691741131418;9765.906735111403;555.5110257936508
1;7;7.0;0.10355414055578925;0.513032455684798;11.898280920134269;9775.049545113838;53.50424563492061
1;7;10.0;0.1501106802439296;0.10408453317513607;11.898280920134269;9775.049545113838;681.2021293650794
1;7;13.0;0.3145648021984712;0.166791507830802;11.898280920134269;9775.049545113838;782.0779722222221
1;7;16.0;0.3736612484868709;0.5334944865324717;11.898280920134269;9775.049545113838;419.7868261904762
1;8;7.0;0.09888140796929656;0.49693461993252064;11.898906188007226;9784.641465431376;95.21426071428567
1;8;10.0;0.257882789370418;0.22025899569049115;11.898906188007226;9784.641465431376;675.2128984126985
1;8;13.0;0.8969635550655423;0.5841770692602747;11.898906188007226;9784.641465431376;720.4869408730159
1;8;16.0;0.22200900227771722;0.33972465993637824;11.898906188007226;9784.641465431376;556.756340079365
1;9;7.0;0.08339982964297175;0.4435996814420096;11.899567067577568;9794.66942307476;126.70363373015863
