mes;dia;hora;reflectancia;nc;N;Hext;RadSolar
1;1;7.0;-0.04577201249744275;0.06751779638587335;11.901606124786424;9740.701088730275;262.435
1;1;10.0;-0.0626513368105119;0.2027386288652319;11.901606124786424;9740.701088730275;349.055
1;1;13.0;-0.0705366628594182;0.24038438490042108;11.901606124786424;9740.701088730275;326.31000000000006
1;1;16.0;-0.05020579375069976;0.07828419495966905;11.901606124786424;9740.701088730275;607.9150000000001
1;2;7.0;-0.045756804845648896;0.06856929215865859;11.901984338742793;9747.38653021353;263.225
1;2;10.0;-0.06262925278148843;0.20373339764624027;11.901984338742793;9747.38653021353;349.055
1;2;13.0;-0.07064390933342367;0.23625681858078357;11.901984338742793;9747.38653021353;326.31000000000006
1;2;16.0;-0.05024270722685032;0.07595707064624785;11.901984338742793;9747.38653021353;607.9150000000001
1;3;7.0;-0.045749055848976095;0.06910507752218673;11.902398354553846;9754.57161185407;227.99
1;3;10.0;-0.06260835136196774;0.20467489611990378;11.902398354553846;9754.57161185407;384.6
1;3;13.0;-0.0707288212272196;0.23298883726746908;11.902398354553846;9754.57161185407;343.06
1;3;16.0;-0.05030596945912305;0.07196885024016383;11.902398354553846;9754.57161185407;607.9150000000001
1;4;7.0;-0.045745384660376656;0.06935891285098926;11.902847845777336;9762.246921741018;227.99
1;4;10.0;-0.06260423704305386;0.20486022444048746;11.902847845777336;9762.246921741018;384.6
1;4;13.0;-0.07082553184865173;0.22926676148384825;11.902847845777336;9762.246921741018;343.06
1;4;16.0;-0.05034121458617928;0.0697469031179901;11.902847845777336;9762.246921741018;641.25
1;5;7.0;-0.04573234972896163;0.07026018120373945;11.903332459642733;9770.40228074398;227.99
1;5;10.0;-0.06259207434914776;0.20540808951428743;11.903332459642733;9770.40228074398;384.175
1;5;13.0;-0.07092126481196886;0.22558231256623848;11.903332459642733;9770.40228074398;335.21000000000004
1;5;16.0;-0.050406780510063344;0.06561345182827186;11.903332459642733;9770.40228074398;660.53
1;6;7.0;-0.04571586945689984;0.07139966918270116;11.903851817964522;9779.026760674711;218.29999999999995
1;6;10.0;-0.0625761280659549;0.20612638528706145;11.903851817964522;9779.026760674711;384.175
1;6;13.0;-0.07101367397868875;0.22202578571800527;11.903851817964522;9779.026760674711;360.96
1;6;16.0;-0.05045649281755683;0.062479454938558554;11.903851817964522;9779.026760674711;660.53
1;7;7.0;-0.04569802097730864;0.07263375851451846;11.904405518110341;9788.108703849204;218.29999999999995
1;7;10.0;-0.06255946187332526;0.20687710917483687;11.904405518110341;9788.108703849204;384.755
1;7;11.0;-0.06967862690131077;0.21816711811444195;11.904405518110341;9788.108703849204;392.775
1;7;12.0;-0.07321101165317503;0.1834976400246862;11.904405518110341;9788.108703849204;376.13
1;7;13.0;-0.07110412437536684;0.21854464552772462;11.904405518110341;9788.108703849204;401.99
1;7;14.0;-0.06464668071053918;0.17326209737124534;11.904405518110341;9788.108703849204;341.15999999999997
1;7;15.0;-0.05695228995609152;0.1179265437247325;11.904405518110341;9788.108703849204;645.825
1;7;16.0;-0.05049393485869565;0.06011900847388929;11.904405518110341;9788.108703849204;659.21
1;8;7.0;-0.04568136127135627;0.0737856530096206;11.904993134019177;9797.635744001138;218.29999999999995
1;8;10.0;-0.06254616422125082;0.20747609811522894;11.904993134019177;9797.635744001138;380.59000000000003
1;8;13.0;-0.07122295072727457;0.21397140754887287;11.904993134019177;9797.635744001138;396.405
1;8;16.0;-0.05055610131080917;0.056199868981243385;11.904993134019177;9797.635744001138;659.21
1;9;7.0;-0.04566074189344666;0.07521132930753387;11.905614217264745;9807.594828493862;218.29999999999995
1;9;10.0;-0.06253426145615122;0.2080122547701662;11.905614217264745;9807.594828493862;425.03999999999996
1;9;13.0;-0.07132618059932862;0.20999842711271352;11.905614217264745;9807.594828493862;407.25
1;9;16.0;-0.050579021112605795;0.05475494334481268;11.905614217264745;9807.594828493862;657.47
1;10;7.0;-0.04565072285811243;0.07590407092498638;11.906268298158956;9817.972241775053;223.30499999999995
1;10;10.0;-0.06252413571852476;0.20846836573002678;11.906268298158956;9817.972241775053;425.03999999999996
1;10;13.0;-0.07143113712476004;0.20595899343049434;11.906268298158956;9817.972241775053;407.25
1;10;16.0;-0.05063893702774317;0.05097768372536218;11.906268298158956;9817.972241775053;642.25
1;11;7.0;-0.045628472537759195;0.07744251473680532;11.906954886890354;9828.753630014797;223.30499999999995
1;11;10.0;-0.06249926823208414;0.20958851455554184;11.906954886890354;9828.753630014797;466.49
1;11;13.0;-0.07154422698185957;0.20160653439083548;11.906954886890354;9828.753630014797;400.72
1;11;14.0;-0.06505274537765098;0.15536735968589102;11.906954886890354;9828.753630014797;371.28
1;11;15.0;-0.05725247033443724;0.10208938552468184;11.906954886890354;9828.753630014797;651.62
1;11;16.0;-0.05068044302503762;0.048361034589888045;11.906954886890354;9828.753630014797;654.21
1;11;17.0;-0.046455769494562406;0.008649646543473865;11.906954886890354;9828.753630014797;592.91
1;11;18.0;-0.04481028570644539;0.0;11.906954886890354;9828.753630014797;540.19
1;12;7.0;-0.04559322362179667;0.07987971455123295;11.907673474692327;9839.924026865034;223.51000000000002
1;12;10.0;-0.06248354592815636;0.21029672124628024;11.907673474692327;9839.924026865034;466.49
1;12;13.0;-0.0716308806975181;0.19827151604603283;11.907673474692327;9839.924026865034;400.72
1;12;16.0;-0.050726264529989636;0.045472324303800514;11.907673474692327;9839.924026865034;654.21
1;13;7.0;-0.04557282664966939;0.08129001314697837;11.908423535035862;9851.467880275495;224.30000000000004
1;13;10.0;-0.06247580171656207;0.21064555704609436;11.908423535035862;9851.467880275495;466.7
1;13;13.0;-0.0717439989864788;0.19391796275694842;11.908423535035862;9851.467880275495;405.25
1;13;16.0;-0.050747066738825765;0.0441608973940733;11.908423535035862;9851.467880275495;640.83
1;14;7.0;-0.04557144028153592;0.08138587017024751;11.909204524841645;9863.369080298644;228.565
1;14;10.0;-0.06250187734700602;0.20947098771894923;11.909204524841645;9863.369080298644;466.7
1;14;13.0;-0.07187886565117498;0.1887273855561223;11.909204524841645;9863.369080298644;408.885
1;14;16.0;-0.05081498544388326;0.0398791204833674;11.909204524841645;9863.369080298644;653.785
